agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
4963,76272,HCC Shuttle,Hillsdale Caltrain Commuter,,3,https://commute.org/route/hillsdale-caltrain-commuter/,fd0028,ffffff,0,,0,1,1,,Hillsdale Caltrain Commuter Shuttle
4963,76273,FCC Shuttle,Foster City Commuter,,3,https://commute.org/route/foster-city-commuter/,8a00fd,ffffff,0,,0,1,1,,Foster City Commuter Shuttle
4963,76274,MBC Shuttle,Millbrae Burlingame Commuter,,3,https://commute.org/route/millbrae-burlingame-commuter/,0054fd,ffffff,0,,0,1,1,,Millbrae Burlingame Commuter Shuttle
4968,76290,SKY Shuttle,Skyline College Express,,3,,00befd,ffffff,0,60,0,1,1,,
4963,76223,BPT Shuttle,Burlingame Point,,3,https://commute.org/route/burlingame-point/,5b91cc,ffffff,1,,0,1,1,,Burlingame Point Shuttle 
4968,76287,DCB Shuttle,Daly City Bayshore,,3,https://www.smctd.com/shuttles,00fd9a,000000,1,,0,1,1,,Daly City Bayshore Shuttle
4963,76228,NFC Shuttle,North Foster City ,,3,https://commute.org/route/north-foster-city/,5b91cc,ffffff,11,,0,1,1,,North Foster City Shuttle
4963,76230,OPB Shuttle,Oyster Point BART ,,3,https://commute.org/route/oyster-point-bart/,5b91cc,ffffff,13,,0,1,1,,Oyster Point Bart Shuttle
4963,76231,OPC Shuttle,Oyster Point Caltrain,,3,https://commute.org/route/oyster-point-caltrain/,5b91cc,ffffff,14,,0,1,1,,Oyster Point Caltrain Shuttle
4963,76232,OPF Shuttle,Oyster Point Ferry ,,3,https://commute.org/route/oyster-point-ferry/,5b91cc,ffffff,15,,0,1,1,,Oyster Point Ferry Shuttle
4963,76233,SEA Shuttle,Seaport Centre,,3,https://commute.org/route/seaport-centre/,5b91cc,ffffff,16,,0,1,1,,Seaport Center Shuttle
4963,76234,UGB Shuttle,Utah/Grand BART ,,3,https://commute.org/route/utah-grand-bart/,5b91cc,ffffff,17,,0,1,1,,Utah Grand Bart Shuttle
4963,76235,UGC Shuttle,Utah/Grand Caltrain,,3,https://commute.org/route/utah-grand-caltrain/,5b91cc,ffffff,18,,0,1,1,,Utah Grand Caltrain Shuttle 
4968,76286,M3 Shuttle ,Marsh Road ,,3,https://menlopark.gov/shuttles,c187ee,000000,2,,0,1,1,,Marsh Road Shuttle
4963,76241,RLC Shuttle ,Redwood LIFE Caltrain,,3,https://commute.org/route/redwood-life-caltrain/,5b91cc,ffffff,3,,0,1,1,,Redwood Life Caltrain Shuttle
4968,76285,M4 Shuttle ,Willow Road,,3,https://menlopark.gov/shuttles,eaeb0e,000000,3,,0,1,1,,Willow Road Shuttle
4963,76242,BAY Shuttle,Burlingame Bayside ,,3,https://commute.org/route/burlingame-bayside/,5b91cc,ffffff,4,,0,1,1,,Burlingame Bayside Shuttle
4968,76284,M1 Shuttle,Crosstown,,3,https://menlopark.gov/shuttles,008cfd,ffffff,4,,0,1,1,,Menlo Park Crosstown Shuttle
4963,76243,BCP Shuttle,Brisbane Crocker Park,,3,https://commute.org/route/brisbane-crocker-park/,5b91cc,ffffff,6,,0,1,1,,Brisbane Crocker Park Bart Shuttle
4963,76226,MPT Shuttle,Redwood City Midpoint ,,3,https://commute.org/route/midpoint-caltrain/,5b91cc,ffffff,9,,0,1,1,,Redwood City Midpoint Shuttle
