runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_71761_b_86226_d_31,1359539,1,1,t_6144024_b_86226_tn_0,4208933,t_6144026_b_86226_tn_0,4208933
1000000,c_71761_b_86226_d_31,1359554,10,1,t_6143938_b_86226_tn_0,4208933,t_6143939_b_86226_tn_0,4208945
1100000,c_71761_b_86226_d_31,1359557,11,1,t_6144109_b_86226_tn_0,4208979,t_6144111_b_86226_tn_0,4208979
1200000,c_71761_b_86226_d_31,1359558,12,1,t_6143951_b_86226_tn_0,4208980,t_6144035_b_86226_tn_0,4208979
1300000,c_71761_b_86226_d_31,1359561,13,1,t_6143968_b_86226_tn_0,4208884,t_6144160_b_86226_tn_0,4208884
1400000,c_71761_b_86226_d_31,1359562,14,1,t_6144051_b_86226_tn_0,4208838,t_6143924_b_86226_tn_0,4208933
1500000,c_71761_b_86226_d_31,1359563,15,1,t_6143992_b_86226_tn_0,4208868,t_6143944_b_86226_tn_0,4208928
1600000,c_71761_b_86226_d_31,1359564,16,1,t_6143994_b_86226_tn_0,4208868,t_6143934_b_86226_tn_0,4208928
1700000,c_71761_b_86226_d_31,1359566,17,1,t_6143971_b_86226_tn_0,4208930,t_6143957_b_86226_tn_0,4208917
1800000,c_71761_b_86226_d_31,1359567,18,1,t_6144054_b_86226_tn_0,4208930,t_6143926_b_86226_tn_0,4208920
1900000,c_71761_b_86226_d_31,1359568,19,1,t_6144040_b_86226_tn_0,4208930,t_6144112_b_86226_tn_0,4208928
200000,c_71761_b_86226_d_31,1359540,2,1,t_6144027_b_86226_tn_0,4208933,t_6144067_b_86226_tn_0,4208977
2000000,c_71761_b_86226_d_31,1359570,20,1,t_6144055_b_86226_tn_0,4208836,t_6144074_b_86226_tn_0,4208930
2100000,c_71761_b_86226_d_31,1359571,21,1,t_6144151_b_86226_tn_0,4208836,t_6144072_b_86226_tn_0,4208910
2200000,c_71761_b_86226_d_31,1359573,22,1,t_6144007_b_86226_tn_0,4208891,t_6144010_b_86226_tn_0,4208884
2300000,c_71761_b_86226_d_31,1359574,23,1,t_6143996_b_86226_tn_0,4208928,t_6143927_b_86226_tn_0,4208868
2400000,c_71761_b_86226_d_31,1359575,24,1,t_6143970_b_86226_tn_0,4208891,t_6143921_b_86226_tn_0,4208890
2500000,c_71761_b_86226_d_31,1359576,25,1,t_6143980_b_86226_tn_0,4208979,t_6144154_b_86226_tn_0,4208979
2600000,c_71761_b_86226_d_31,1359577,26,1,t_6143995_b_86226_tn_0,4208928,t_6143929_b_86226_tn_0,4208868
