trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_6143921_b_86226_tn_0,18:10:00,18:10:00,4208884,1,Bayshore Caltrain / Brisbane ,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_6143921_b_86226_tn_0,18:25:00,18:25:00,4208907,2,Bayshore Caltrain / Brisbane ,0,0,6423.224434321835,1,,,,,1,1,,,,,,,,,,,
t_6143921_b_86226_tn_0,18:29:00,18:29:00,4208843,3,Bayshore Caltrain / Brisbane ,0,0,9236.877642059917,1,,,,,1,1,,,,,,,,,,,
t_6143921_b_86226_tn_0,18:30:00,18:30:00,4208887,4,Bayshore Caltrain / Brisbane ,0,0,9577.269786933963,1,,,,,1,1,,,,,,,,,,,
t_6143921_b_86226_tn_0,18:30:30,18:30:30,4208888,5,Bayshore Caltrain / Brisbane ,0,0,9863.535606665111,1,,,,,1,1,,,,,,,,,,,
t_6143921_b_86226_tn_0,18:31:00,18:31:00,4208889,6,Bayshore Caltrain / Brisbane ,0,0,10038.866696865416,1,,,,,1,1,,,,,,,,,,,
t_6143921_b_86226_tn_0,18:31:30,18:31:30,4208890,7,Bayshore Caltrain / Brisbane ,0,0,10234.729833539988,1,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,09:53:00,09:53:00,4210176,1,Belle Haven ,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,09:55:00,09:55:00,4210109,2,Belle Haven ,0,0,543.8221949104358,0,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,09:57:00,09:57:00,4210108,3,Belle Haven ,0,0,1067.9231867186209,0,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,09:57:30,09:57:30,4210107,4,Belle Haven ,0,0,1417.5815211913036,0,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,09:58:00,09:58:00,4210106,5,Belle Haven ,0,0,1706.2939184911108,0,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,09:59:00,09:59:00,4210105,6,Belle Haven ,0,0,1925.8306463567585,0,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,09:59:30,09:59:30,4210104,7,Belle Haven ,0,0,2304.1922922821777,0,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,10:00:00,10:00:00,4210175,8,Belle Haven ,0,0,2534.8804382366466,1,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,10:06:00,10:06:00,4210174,9,Belle Haven ,0,0,4785.192856362616,1,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,10:07:00,10:07:00,4210110,10,Belle Haven ,0,0,5042.3668310357725,0,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,10:11:00,10:11:00,4210179,11,Belle Haven ,0,0,6260.7176551131815,1,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,10:14:00,10:14:00,4210178,12,Belle Haven ,0,0,6611.150836048269,1,,,,,1,1,,,,,,,,,,,
t_6143922_b_86226_tn_0,10:17:00,10:17:00,4210180,13,Belle Haven ,0,0,7193.1782108889765,1,,,,,1,1,,,,,,,,,,,
