stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
4208717,,,1000 Gateway Blvd.,,37.661125,-122.395746,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208718,,,701 Gateway Blvd.,,37.659022,-122.397426,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208719,,,201 Haskins Way,,37.649947,-122.387205,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208720,3642700,,352 Oyster Point,,37.6622477761076,-122.384202826153,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208836,3642696,,Oyster Point Blvd / Gateway,,37.6622346591498,-122.394786315961,,,0,,America/Los_Angeles,,,0,
4208838,,,322 Airport Blvd. (BUR 102),,37.5898586423935,-122.336246498966,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208839,3647464,,Tunnel & Blanken,,37.7119584902193,-122.400815383496,,,0,,America/Los_Angeles,,,0,
4208840,3643655,,213 E. Grand Ave. (PM Only),,37.6547126516075,-122.398673799024,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208841,3643654,,269 E. Grand Ave. (PM Only),,37.6537615454449,-122.395337238711,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208842,3643653,,380 Littlefield Ave. (PM Only),,37.6485592183795,-122.39436823451,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208843,3241537,,Old County / Bayshore,,37.6851221361531,-122.399457712197,,,0,,America/Los_Angeles,,,0,
4208844,3251049,,Mariners' Island & Fashion Island Blvd,,37.558360844,-122.287402523,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208846,3789576,,Barron Ave & Broadway @ Discovery Hall,,37.48473,-122.20233,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208847,3652492,,Belmont Caltrain Station,,37.52132562357902,-122.27658778393486,,,0,,America/Los_Angeles,,,0,
4208848,340007,,Broadway Caltrain Station,,37.587122756078834,-122.3620831779117,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208865,3789575,,505 Broadway @ Cardinal Hall,,37.48516,-122.20447,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208866,3242009,,155 South Hill,,37.6893417689611,-122.418164907161,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208868,3643000,,"South San Francisco BART (UGB/OTP, Bay #6)",,37.664499,-122.444035,,,0,,America/Los_Angeles,,,0,
4208869,3244682,,Millbrae Intermodal Station (West),,37.599459,-122.386523,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208870,3645056,,Mills-Peninsula Health Services,,37.592945,-122.382999,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208871,3645057,,Adeline & Balboa,,37.588308,-122.375726,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208872,3645058,,Adeline & Bernal,,37.585655,-122.378081,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208873,3645059,,Sisters of Mercy,,37.5836686126163,-122.382690781822,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208874,3645060,,Adeline & Bernal,,37.585742,-122.377886,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208875,3645061,,Adeline & Balboa,,37.588313,-122.375625,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208876,3251041,,Hillsdale Caltrain Station,,37.543438,-122.302258,,,0,,America/Los_Angeles,,,0,
4208878,3251771,,1800-1820 Gateway,,37.557117,-122.281137,,,0,,America/Los_Angeles,,,0,
4208879,3251772,,Shell & E. Hillsdale Blvd.,,37.559062,-122.271998,,,0,,America/Los_Angeles,,,0,
4208880,3251773,,The Plaza at Triton Park,,37.565127,-122.269464,,,0,,America/Los_Angeles,,,0,
4208881,3251775,,393 Vintage Park Dr (AM Only),,37.562802,-122.277273,,https://commute.org/shuttles/,0,,America/Los_Angeles,,,1,
4208882,3251776,,951 Mariners' Island,,37.559524,-122.287312,,,0,,America/Los_Angeles,,,0,
4208883,3251774,,One Hundred Grand,,37.563387,-122.269187,,,0,,America/Los_Angeles,,,0,
4208884,3249689,,Balboa Park BART (Geneva/Delano),,37.720178,-122.44545,,,0,,America/Los_Angeles,,,0,
4208885,3241997,,Bayshore & Geneva,,37.703865,-122.407589,,,0,,America/Los_Angeles,,,0,
4208886,3241998,,Bayshore & Guadalupe,,37.691922,-122.404486,,,0,,America/Los_Angeles,,,0,
