timetable_id,stop_id,stop_sequence,stop_name,connected_routes
8682,4208884,1,Balboa Park BART (Geneva/Delano),"BCP Shuttle/Brisbane Crocker Park, DCB Shuttle/Daly City Bayshore"
8682,4208909,2,Bayshore & Blanken,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208907,3,Bayshore Caltrain Station,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208893,4,140 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208894,5,240 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208895,6,380 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208896,7,422 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208994,8,440 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208897,9,460 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208898,10,480 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208899,11,W. Hill Dr. & W. Hill PL,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208900,12,150 West Hill Pl.,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208901,13,175 South Hill,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208866,14,155 South Hill,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208903,15,101 South Hill,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208902,16,99 South Hill,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208886,17,Bayshore & Guadalupe,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208843,18,Old County / Bayshore,BCP Shuttle/Brisbane Crocker Park
8682,4208887,19,Old County / San Francisco (USPS Office),"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208888,20,San Bruno / Mendocino,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208889,21,San Bruno / Alvarado,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208890,22,San Bruno / Glen Park Way,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208891,23,3745 Bayshore,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208892,24,Bayshore & Tunnel,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8682,4208904,25,Tunnel & Recycle (Bayshore Caltrain),BCP Shuttle/Brisbane Crocker Park
8682,4208884,26,Balboa Park BART (Geneva/Delano),"BCP Shuttle/Brisbane Crocker Park, DCB Shuttle/Daly City Bayshore"
8683,4208884,1,Balboa Park BART (Geneva/Delano),"BCP Shuttle/Brisbane Crocker Park, DCB Shuttle/Daly City Bayshore"
8683,4208907,2,Bayshore Caltrain Station,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208843,3,Old County / Bayshore,BCP Shuttle/Brisbane Crocker Park
8683,4208887,4,Old County / San Francisco (USPS Office),"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208888,5,San Bruno / Mendocino,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208889,6,San Bruno / Alvarado,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208890,7,San Bruno / Glen Park Way,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208891,8,3745 Bayshore,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208892,9,Bayshore & Tunnel,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208893,10,140 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208894,11,240 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208895,12,380 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208896,13,422 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208994,14,440 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208897,15,460 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208898,16,480 Valley,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208899,17,W. Hill Dr. & W. Hill PL,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208900,18,150 West Hill Pl.,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208901,19,175 South Hill,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208866,20,155 South Hill,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208903,21,101 South Hill,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208902,22,99 South Hill,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208886,23,Bayshore & Guadalupe,"BBC Shuttle/Brisbane/Bayshore Caltrain, BCP Shuttle/Brisbane Crocker Park"
8683,4208904,24,Tunnel & Recycle (Bayshore Caltrain),BCP Shuttle/Brisbane Crocker Park
8683,4208839,25,Tunnel & Blanken,BCP Shuttle/Brisbane Crocker Park
8683,4208884,26,Balboa Park BART (Geneva/Delano),"BCP Shuttle/Brisbane Crocker Park, DCB Shuttle/Daly City Bayshore"
8684,4208868,1,"South San Francisco BART (UGB/OTP, Bay #6)","OTP Shuttle/One Tower Place , UGB Shuttle/Utah/Grand BART "
8684,4208718,2,701 Gateway Blvd.,"OPC Shuttle/Oyster Point Caltrain, OPF Shuttle/Oyster Point Ferry , UGB Shuttle/Utah/Grand BART "
8684,4208921,3,169 Harbor Way (AM Only),"OPF Shuttle/Oyster Point Ferry , UGB Shuttle/Utah/Grand BART , UGC Shuttle/Utah/Grand Caltrain, UGF Shuttle/Utah/Grand Ferry "
8684,4208922,4,230 E. Grand Ave. (AM Only),"OPF Shuttle/Oyster Point Ferry , UGB Shuttle/Utah/Grand BART , UGC Shuttle/Utah/Grand Caltrain, UGF Shuttle/Utah/Grand Ferry "
8684,4208923,5,Kimball & E. Grand Ave.,"OPF Shuttle/Oyster Point Ferry , UGB Shuttle/Utah/Grand BART , UGC Shuttle/Utah/Grand Caltrain, UGF Shuttle/Utah/Grand Ferry "
8684,4208924,6,390 Swift Ave.,"OPF Shuttle/Oyster Point Ferry , UGB Shuttle/Utah/Grand BART , UGC Shuttle/Utah/Grand Caltrain, UGF Shuttle/Utah/Grand Ferry "
8684,4208929,7,400/450 E. Jamie Court,"OPF Shuttle/Oyster Point Ferry , UGB Shuttle/Utah/Grand BART , UGC Shuttle/Utah/Grand Caltrain, UGF Shuttle/Utah/Grand Ferry "
